Ticker,LTP,Fair Price,EPS,PE,ROE,PB,Beta,Dividend Yield,Revenue,Net Profit,Gross Profit,Net Income,Net Profit Margin,Book Value,Assets,Liabilities,Equities
ADBL,259.00,315.10,20.62,12.56,0.10,1.21,0.72,0.05,23606993.50,3099337.08,8080400.86,3099337.08,0.13,214.03,264661279.2,230438243.7,34223035.4
CZBIL,175.00,229.47,15.59,11.22,0.11,1.17,0.74,0.03,20688978.46,2214425.23,5857274.71,2214425.23,0.11,150.08,199323728.9,178010682.1,21313046.8
EBL,483.90,412.41,31.72,15.26,0.14,2.03,0.74,0.04,22438321.00,3393153.00,7448074.00,3393153.00,0.15,238.33,249983268.0,224486152.0,25497118.0
GBIME,208.80,273.58,20.28,10.30,0.13,1.27,0.71,0.07,48221364.00,7253454.00,17118275.00,7253454.00,0.15,164.05,526375695.0,467692939.0,58682757.0
HBL,204.60,237.04,15.08,13.57,0.09,1.24,0.56,0.09,29106401.50,3266167.78,9933413.80,3266167.78,0.11,165.58,334150117.7,298290092.6,35860025.1
KBL,157.80,153.58,7.46,21.15,0.05,1.12,0.83,0.08,34052700.46,1957107.46,11011396.07,1957107.46,0.06,140.47,378784702.1,341945533.4,36839168.7
LSL,183.00,201.88,10.44,17.53,0.08,1.05,0.74,0.00,18879802.00,2261888.00,5507126.00,2261888.00,0.12,173.55,363526841.0,325918905.0,37607937.0
MBL,206.10,254.20,18.05,11.42,0.12,1.30,0.74,0.07,19298799.96,1851156.89,5386685.27,1851156.89,0.10,159.13,186810265.8,170488254.3,16322011.5
NABIL,590.00,366.58,27.82,21.21,0.13,2.75,0.92,0.05,46381986.00,7527149.00,17983210.00,7527149.00,0.16,214.69,483011058.0,424922239.0,58088818.0
NBL,251.00,360.61,23.22,10.81,0.09,1.01,0.66,0.05,25194073.31,3411526.80,9441553.68,3411526.80,0.14,248.94,296098239.5,259519367.9,36578871.6
NIMB,176.50,219.75,12.59,14.02,0.07,1.04,0.32,0.06,35081695.00,4296624.00,12275858.00,4296624.00,0.12,170.48,447505405.0,389323925.0,58181479.0
SBI,309.80,302.09,22.15,13.99,0.12,1.69,0.70,0.03,17838065.91,2241642.85,5767266.89,2241642.85,0.13,183.12,186266841.3,167734287.6,18532553.7
NICA,542.50,481.72,40.22,13.49,0.16,2.12,0.99,0.06,38371659.15,4651338.48,12371164.31,4651338.48,0.12,256.41,364110859.2,334459581.4,29651277.8
NMB,209.00,255.13,18.57,11.26,0.12,1.34,0.69,0.04,26622440.00,3410500.00,8342440.00,3410500.00,0.13,155.79,288166111.0,259552034.0,28614077.0
PRVU,158.00,196.67,12.00,13.17,0.08,1.10,1.05,0.05,30039673.00,2825250.00,10257916.00,2825250.00,0.09,143.25,351675968.0,317950946.0,33725023.0
PCBL,184.00,196.05,11.66,15.77,0.08,1.26,0.92,0.05,23299301.31,2263154.09,7279743.70,2263154.09,0.10,146.45,221951884.3,193536752.8,28415131.4
SANIMA,248.80,271.21,21.02,11.84,0.14,1.60,0.63,0.06,21617858.49,2619216.64,6489309.97,2619216.64,0.12,155.51,215641368.2,196264323.8,19377044.4
SBL,248.00,303.43,22.64,10.95,0.13,1.37,0.79,0.02,27647197.76,3190111.74,8178422.45,3190111.74,0.12,180.73,286121885.0,260657203.7,25464681.3
SCB,536.00,424.27,37.39,14.34,0.18,2.50,0.65,0.03,12743270.00,3525415.00,5955257.00,3525415.00,0.28,213.98,151609155.0,131431845.0,20177309.0
SRBL,0.00,246.58,15.43,11.22,0.09,0.99,0.73,0.00,13391938.72,1170968.49,4198397.21,1170968.49,0.09,175.14,162977156.5,145255131.1,17722025.4
