Ticker,LTP,Fair Price,EPS,PE,ROE,PB,Beta,Dividend Yield,Revenue,Net Profit,Gross Profit,Net Income,Net Profit Margin,Book Value,Assets,Liabilities,Equities
ALICL,618.00,136.73,7.61,81.25,0.07,5.66,1.59,0.01,10470733.04,240006.49,6829930.14,240006.49,0.02,109.23,43369122.5,39922494.2,3446628.3
LICN,1298.00,125.12,4.70,276.24,0.03,8.77,1.24,0.00,28283880.75,124670.60,17731574.93,124670.60,0.00,148.06,121217237.3,117288872.7,3928364.7
NLICL,533.00,133.04,7.27,73.27,0.07,4.93,1.49,0.03,21798101.82,364574.73,12235670.85,364574.73,0.02,108.14,70507656.3,65088022.7,5419633.6
NLIC,635.00,141.25,8.22,77.28,0.08,5.88,1.36,0.00,52579189.10,674435.83,33747643.41,674435.83,0.01,107.92,180046246.3,171188557.6,8857688.7
SJLIC,481.00,187.74,10.13,47.49,0.07,3.11,1.45,0.00,11522556.08,460387.72,8483352.52,460387.72,0.04,154.67,35674494.1,28643833.4,7030660.7
SRLI,421.00,117.94,5.24,80.29,0.04,3.57,1.48,0.00,4208732.00,219388.00,2836309.00,219388.00,0.05,117.90,16986904.0,12053990.0,4932914.0
HLI,380.70,135.91,7.25,52.52,0.13,3.36,0.00,0.00,20081739.00,581324.00,13060056.00,581324.00,0.03,113.26,62866569.0,53782641.0,9083928.0
ILI,460.00,150.78,6.02,76.41,0.05,2.74,0.00,0.00,4900244.00,240814.00,3334542.00,240814.00,0.05,167.85,14469639.0,7755766.0,6713873.0
RNLI,400.00,230.43,15.44,25.91,0.10,2.62,0.00,0.00,4429259.00,432299.00,2759934.00,432299.00,0.10,152.86,12175355.0,7895365.0,4279990.0
SNLI,409.50,283.74,25.29,16.19,0.18,2.89,0.00,0.00,3857705.00,566528.00,2555947.00,566528.00,0.15,141.48,9095742.0,5926664.0,3169078.0
CLI,389.00,156.34,7.66,50.77,0.05,2.74,0.00,0.00,6486689.00,201128.00,4139236.00,201128.00,0.03,141.78,14353645.0,10632009.0,3721636.0
GLICL,0.00,167.02,9.60,35.84,0.08,2.66,1.20,0.00,3449894.00,161226.00,2210931.00,161226.00,0.05,129.15,17850106.0,14957872.0,2892234.0
PLIC,0.00,151.73,8.92,38.14,0.08,2.96,1.19,0.00,5046501.00,210020.00,3815256.00,210020.00,0.04,114.77,26421370.0,22816561.0,3604809.0
ULI,0.00,132.51,7.38,48.54,0.07,3.38,0.80,0.00,6662543.18,129590.65,3836746.86,129590.65,0.02,105.82,17764833.9,15285597.2,2479236.7
RLI,0.00,157.17,9.29,41.65,0.08,3.28,0.99,0.00,2487443.00,146356.00,1517062.00,146356.00,0.06,118.14,8373701.0,5892673.0,2481028.0
PLI,0.00,80.38,2.45,239.97,0.03,5.00,3.52,0.00,2481310.72,105084.34,1345412.46,105084.34,0.04,117.40,13452060.8,8408754.8,5043306.0
JLI,0.00,276.09,22.88,15.38,0.16,2.38,1.47,0.00,1825454.51,276894.25,1465725.08,276894.25,0.15,148.05,12006818.8,8424072.7,3582746.0
