Ticker,LTP,Fair Price,EPS,PE,ROE,PB,Beta,Dividend Yield,Revenue,Net Profit,Gross Profit,Net Income,Net Profit Margin,Book Value,Assets,Liabilities,Equities
CFCL,316.30,101.97,3.66,86.37,0.03,2.51,1.37,0.02,933381.48,34749.90,268847.78,34749.90,0.04,126.18,8298336.4,7101067.3,1197269.1
BFC,299.00,119.25,4.52,66.10,0.03,2.14,1.11,0.00,581496.60,38669.45,130925.79,38669.45,0.07,139.71,5806947.3,4612694.2,1194253.0
GFCL,409.00,233.61,9.62,42.51,0.05,1.62,1.38,0.00,1691220.34,91023.06,335856.07,91023.06,0.05,252.11,15642387.8,13257156.2,2385231.6
GMFIL,331.10,132.72,5.53,59.85,0.04,2.34,1.29,0.02,1045006.00,55998.00,271632.00,55998.00,0.05,141.51,9257029.0,7824728.0,1432303.0
GUFL,516.80,261.00,18.06,28.62,0.10,3.08,1.93,0.00,1094558.22,156761.10,366139.78,156761.10,0.14,167.65,10026472.2,8571318.7,1455153.5
ICFC,462.50,221.54,13.96,33.13,0.09,2.96,1.23,0.02,2634524.41,165205.37,549393.15,165205.37,0.06,156.26,21823810.6,19974525.5,1849285.1
JFL,360.00,39.07,0.60,599.24,0.01,3.19,1.09,0.00,536159.85,4148.06,160833.25,4148.06,0.01,112.94,5306195.5,4526355.2,779840.3
MFIL,511.00,274.59,21.57,23.69,0.14,3.29,1.45,0.00,2117746.00,291547.00,707568.00,291547.00,0.14,155.35,16913335.0,14813683.0,2099652.0
MPFL,284.00,58.20,1.33,214.22,0.01,2.50,1.02,0.00,182545.88,5992.23,49344.76,5992.23,0.03,113.55,2055339.3,1542101.1,513238.2
PFL,344.00,191.19,11.37,30.25,0.08,2.41,1.46,0.01,1703536.12,123094.80,471193.08,123094.80,0.07,142.88,13978570.4,12431784.8,1546785.5
PROFL,285.20,NaN,-34.22,-8.33,-0.39,3.81,1.24,0.00,627353.82,-290229.04,167811.39,-290229.04,-0.46,74.92,5794451.4,5159013.7,635437.7
RLFL,302.00,NaN,-13.74,-21.97,-0.13,2.93,1.39,0.02,985185.00,-154130.00,210373.00,-154130.00,-0.16,103.23,8716961.0,7559321.0,1157640.0
SIFC,310.00,145.90,6.88,45.09,0.05,2.25,1.22,0.02,993784.56,67494.19,216026.63,67494.19,0.07,137.60,8824384.2,7473620.4,1350763.8
SFCL,268.00,NaN,-9.75,-27.49,-0.13,3.49,1.01,0.00,257138.00,-79849.00,70293.00,-79849.00,-0.31,76.86,2699383.0,2069958.0,629422.0
NFS,292.50,104.33,3.53,82.87,0.03,2.13,1.18,0.00,269691.00,25681.00,91454.00,25681.00,0.10,137.04,3143527.0,2146497.0,997030.0
