Ticker,LTP,Fair Price,EPS,PE,ROE,PB,Beta,Dividend Yield,Revenue,Net Profit,Gross Profit,Net Income,Net Profit Margin,Book Value,Assets,Liabilities,Equities
FOWAD,1200.50,360.83,20.98,57.19,0.08,4.35,1.01,0.03,2998448.10,221469.36,1155790.61,221469.36,0.07,275.80,20180790.9,17269551.0,2911239.8
CBBL,910.00,448.09,37.45,24.30,0.16,3.82,1.05,0.03,5822681.02,1061926.23,2853480.57,1061926.23,0.18,238.27,42592852.9,35836945.9,6755906.9
HLBSL,560.00,66.36,1.36,420.88,0.01,3.97,1.47,0.02,173665.91,1086.63,55311.34,1086.63,0.01,144.02,4729958.7,4269366.8,460591.9
DDBL,713.00,342.85,23.98,29.53,0.11,3.25,1.23,0.03,2798914.17,371930.01,1245383.14,371930.01,0.13,217.87,21820508.6,18441092.5,3379416.1
FMDBL,611.90,237.88,17.66,34.26,0.13,4.25,1.34,0.03,252539.33,50684.32,80196.82,50684.32,0.20,142.37,8195895.1,6561805.3,1634089.8
NUBL,595.00,12.37,0.04,15035.86,0.00,3.45,0.99,0.03,4007919.98,1031.05,2005984.94,1031.05,0.00,172.12,27760008.5,23264098.6,4495909.8
JSLBB,849.50,186.30,9.80,88.48,0.06,5.50,1.41,0.02,306673.98,16663.25,96024.32,16663.25,0.05,157.46,2253426.2,1985593.9,267832.3
KMCDB,555.70,204.10,12.42,45.09,0.08,3.76,1.00,0.04,582827.44,46243.28,255055.36,46243.28,0.08,149.07,3967230.2,3412216.3,555014.0
LLBS,688.50,NaN,-18.81,-36.63,-0.10,3.85,1.37,0.03,1004367.82,-83064.36,366997.42,-83064.36,-0.08,179.01,6212479.2,5421855.5,790623.7
MSLB,745.00,274.44,17.61,41.92,0.10,3.88,0.96,0.02,689509.82,56759.49,262343.99,56759.49,0.08,190.13,4471380.0,3858444.7,612935.3
MERO,509.00,133.87,5.45,94.14,0.04,3.51,1.31,0.04,2233463.82,71931.64,761941.81,71931.64,0.03,146.16,14729859.0,12800561.4,1929297.6
MMFDB,556.20,171.14,8.35,66.58,0.05,3.57,0.89,0.04,1298877.97,54566.80,454292.14,54566.80,0.04,155.86,8827320.8,7808933.6,1018387.2
MLBBL,738.00,212.59,15.08,48.07,0.10,5.44,1.65,0.02,330020.42,29559.86,94476.04,29559.86,0.09,133.18,2684553.1,2423507.3,261045.8
NADEP,490.10,41.65,0.42,1197.30,0.00,2.74,0.91,0.02,161090.95,510.18,51922.77,510.18,0.00,183.55,5875817.0,4984181.6,891635.3
NMFBS,974.00,305.27,19.84,49.39,0.11,4.70,1.28,0.02,2459893.00,215141.00,834205.00,215141.00,0.09,208.72,17637419.0,15374422.0,2262997.0
GILB,792.00,299.60,21.98,36.63,0.12,4.44,1.35,0.02,427043.39,34007.66,155758.81,34007.66,0.08,181.50,8108817.6,6985518.0,1123299.6
RSDC,561.00,231.45,18.76,29.75,0.15,4.40,1.35,0.02,238963.39,40774.29,68116.76,40774.29,0.17,126.93,7121383.9,6017619.2,1103764.7
ALBSL,667.40,138.49,5.90,113.58,0.05,4.64,1.48,0.02,745623.33,37849.91,247261.66,37849.91,0.05,144.50,9339090.3,8411970.9,927119.4
SMFDB,0.00,176.61,10.51,92.01,0.08,7.33,0.94,0.01,631140.39,44221.34,184167.93,44221.34,0.07,131.90,6457135.3,5717203.7,739931.6
GMFBS,675.00,116.13,4.64,145.97,0.04,5.24,1.28,0.00,368139.30,7028.82,115107.52,7028.82,0.02,129.24,2458216.7,2262341.3,195875.4
NMBMF,498.00,NaN,-3.11,-154.57,-0.02,3.38,1.35,0.02,812834.53,-22417.71,347438.25,-22417.71,-0.03,142.18,5457588.5,4431807.1,1025781.3
SKBBL,877.90,376.76,24.44,35.93,0.12,3.40,1.04,0.03,3038398.55,814145.11,1660982.42,814145.11,0.27,258.16,48666520.1,40065450.2,8601069.8
SWBBL,761.00,386.56,26.31,29.35,0.11,3.06,1.03,0.02,3081500.68,339475.04,1558015.30,339475.04,0.11,252.46,19908427.7,16650410.6,3258017.1
SLBBL,622.20,213.61,14.87,41.21,0.11,4.50,1.26,0.04,1030593.05,93293.37,366266.87,93293.37,0.09,136.33,7060804.5,6205714.7,855089.8
VLBS,591.80,158.71,7.79,75.09,0.07,4.07,1.30,0.04,743346.74,58041.20,288597.21,58041.20,0.08,143.71,9312011.6,8241318.4,1070693.2
SMFBS,935.00,219.71,14.79,64.58,0.11,6.58,1.21,0.02,309925.49,21609.53,96532.79,21609.53,0.07,145.09,2338731.4,2126705.3,212026.1
SWMF,583.50,224.23,8.75,65.18,0.03,2.24,0.65,0.03,1534439.83,79737.38,570090.21,79737.38,0.05,255.24,11420433.8,9095715.7,2324718.1
SMB,945.90,153.76,6.71,135.57,0.04,5.81,1.42,0.01,56232.79,1598.16,14485.87,1598.16,0.03,156.54,1811546.0,1662461.5,149084.5
ILBS,614.00,101.70,3.36,177.25,0.02,4.36,1.47,0.03,717418.45,16725.50,247227.45,16725.50,0.02,136.70,4752269.7,4072312.8,679956.9
WNLB,710.00,15.78,0.10,6984.86,0.00,6.43,0.90,0.00,110390.38,79.95,17328.97,79.95,0.00,109.65,881289.4,794432.6,86856.8
SABSL,572.00,142.41,6.98,78.80,0.05,4.26,1.34,0.03,635534.90,22241.19,197382.11,22241.19,0.04,129.13,4019247.0,3607852.1,411394.9
GBLBS,485.00,181.14,7.02,68.85,0.03,2.32,1.47,0.00,2189150.00,68927.00,1239885.00,68927.00,0.03,207.88,15032647.0,12990269.0,2042378.0
SHLB,862.90,231.76,10.17,84.27,0.04,3.65,2.36,0.00,347696.51,11128.13,125151.10,11128.13,0.03,234.63,2445290.5,2188665.5,256625.2
NICLBSL,600.00,267.51,17.25,34.67,0.10,3.24,0.96,0.03,3044288.17,300030.01,1092085.43,300030.01,0.10,184.39,19609655.0,16402294.1,3207360.9
BPW,860.10,97.98,4.22,204.38,0.04,8.54,12.17,0.00,26079.25,1266.73,7942.95,1266.73,0.05,101.05,199397.5,169083.1,30314.4
UNLB,1025.00,273.15,12.30,83.72,0.05,3.82,-0.36,0.02,515143.21,18278.72,212150.21,18278.72,0.04,269.53,4372141.4,3971683.8,400457.6
MLBS,630.00,124.17,4.68,133.59,0.04,4.27,1.20,0.00,220795.18,5116.96,86811.92,5116.96,0.02,146.47,1602294.8,1442096.0,160198.8
MKLB,581.00,60.76,1.46,397.78,0.01,5.17,-0.87,0.01,148049.07,2168.66,60295.46,2168.66,0.01,112.35,1028696.5,861880.1,166816.3
ANLB,1818.00,879.61,77.97,22.90,0.18,4.05,6.12,0.00,182625.93,48607.76,119559.71,48607.76,0.27,441.01,1534862.7,1259947.5,274915.2
JALPA,1060.00,NaN,-61.52,-17.23,-0.26,4.88,-1.84,0.01,733743.60,-112452.76,311772.63,-112452.76,-0.15,217.25,4902495.3,4505354.6,397140.7
ACLBSL,520.00,NaN,-7.08,-73.45,-0.05,3.70,0.92,0.00,744723.14,-25992.21,267048.55,-25992.21,-0.03,140.53,4996389.2,4480451.6,515937.6
SAMAJ,93.10,300.55,19.34,4.72,0.09,0.44,0.00,0.00,39978.43,2901.46,11865.73,2901.46,0.07,207.54,408908.0,367399.1,41508.8
NESDO,1680.00,706.64,57.55,29.19,0.15,4.36,0.08,0.01,641074.38,146748.93,381164.24,146748.93,0.23,385.64,4809765.0,3826384.8,983380.3
SDLBSL,568.00,149.79,7.31,77.02,0.06,4.13,1.41,0.04,773513.78,27942.56,245301.18,27942.56,0.04,136.42,5320250.0,4798783.4,521466.6
USLB,703.00,124.02,3.34,214.63,0.02,3.50,1.31,0.00,555732.60,7649.70,190736.24,7649.70,0.01,204.67,3832823.6,3364080.3,468743.3
SLBSL,0.00,30.71,0.28,2545.85,0.00,4.64,0.92,0.02,222014.46,401.52,93683.64,401.52,0.00,151.58,1507475.0,1287380.4,220094.6
KLBSL,685.00,87.68,2.70,254.73,0.02,5.45,1.31,0.01,972450.54,13632.17,257080.73,13632.17,0.01,126.42,6520141.3,5882504.7,637636.6
GLBSL,0.00,101.57,3.68,177.32,0.03,5.24,1.44,0.01,45142.06,933.28,12975.91,933.28,0.02,124.54,1421028.5,1294749.1,126279.4
MLBSL,1799.00,407.51,34.71,51.83,0.17,8.46,2.18,0.03,722521.79,75518.90,299538.64,75518.90,0.10,212.63,4480643.1,4018047.5,462595.5
JBLB,1325.00,450.48,34.28,38.65,0.13,5.04,0.74,0.01,3538342.41,405249.99,1493032.34,405249.99,0.11,263.07,24486616.7,21377059.5,3109557.2
AVYAN,575.00,18.10,0.13,4419.84,0.00,5.23,1.89,0.00,532997.50,328.07,95322.44,328.07,0.00,110.95,1962143.5,1684777.0,277366.5
ADLB,0.00,61.78,1.34,877.34,0.01,9.36,8.60,0.02,31130.51,250.57,12502.27,250.57,0.01,126.13,295848.0,264516.5,31331.5
KLBS,0.00,74.65,2.36,353.51,0.02,7.98,5.01,0.00,22921.43,472.97,7644.43,472.97,0.02,104.73,358135.5,316244.1,41891.4
DLBS,590.10,NaN,-63.03,-9.41,-0.38,3.72,4.20,0.00,51515.00,-20974.00,7789.00,-20974.00,-0.41,159.21,2154612.0,1942708.0,211905.0
CYCL,1025.00,119.23,2.86,350.22,0.01,4.52,0.72,0.03,180409.19,1902.21,56376.32,1902.21,0.01,221.23,6144733.9,5555326.9,589407.0
SMATA,0.00,207.48,14.56,42.36,0.12,4.70,1.01,0.03,464080.04,57407.21,192003.78,57407.21,0.12,131.36,3156124.0,2638341.8,517782.2
NLBBL,526.00,176.65,7.91,66.07,0.05,2.98,1.40,0.04,1420538.71,57899.57,436283.37,57899.57,0.04,175.35,10714965.8,9431412.9,1283552.9
AKBSL,0.00,270.57,18.99,48.41,0.10,5.36,-0.53,0.03,98407.91,11296.21,31294.25,11296.21,0.11,171.38,1503136.9,1299196.0,203940.9
ULBSL,0.00,339.70,22.27,51.86,0.10,5.02,0.48,0.06,307451.00,23640.00,118291.00,23640.00,0.08,230.29,2119877.0,1875431.0,244446.0
RMDC,0.00,347.56,23.40,33.12,0.10,3.38,1.15,0.04,1195544.77,274469.82,462903.79,274469.82,0.23,229.41,12305346.6,8717941.4,3587405.3
NSLB,0.00,177.04,8.49,81.70,0.05,4.23,1.10,0.03,483520.76,19314.58,147242.44,19314.58,0.04,164.11,4728527.7,4230638.6,497889.1
RULB,0.00,278.26,19.10,39.53,0.11,4.19,0.64,0.00,393783.69,37238.92,159548.74,37238.92,0.09,180.17,3799872.2,3331512.0,468360.2
